"Title","Date Finished","Image URL","Num Pages"
"The Rules of Magic","Sat Oct 24 22:41:46 -0700 2020","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1492802012l/34037113._SX98_.jpg","369"
"Kissing the Coronavirus","Mon Oct 12 23:30:09 -0700 2020","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png","16"
"The Girl with the Dragon Tattoo","Sun Oct 11 15:34:42 -0700 2020","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1338358246l/6599342._SX98_.jpg","658"
"Practical Magic","Sun Oct 11 23:00:31 -0700 2020","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1490354120l/22896._SX98_.jpg","286"
"Dracula","Sun Oct 04 18:46:50 -0700 2020","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1387151694l/17245._SY160_.jpg","488"
"First, We Make the Beast Beautiful: A New Story About Anxiety","Sat Sep 26 23:30:42 -0700 2020","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1488372286l/34210334._SX98_.jpg","320"
"The Great Alone","Sat Sep 19 11:39:03 -0700 2020","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1501852423l/34912895._SX98_.jpg",""
"Why Women Have Better Sex Under Socialism: And Other Arguments for Economic Independence","Sat Sep 12 10:27:32 -0700 2020","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png",""
"By the Pricking of My Thumbs","Sun Sep 06 20:19:39 -0700 2020","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png","212"
"Lab Girl","Thu Sep 03 22:27:42 -0700 2020","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1441826687l/25733983._SX98_.jpg","290"
"The Strange Case of Dr. Jekyll and Mr. Hyde","Mon Aug 31 19:32:38 -0700 2020","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1318116526l/51496._SX98_.jpg","144"
"Children of Time","Sun Aug 30 19:38:16 -0700 2020","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1432028033l/25563522._SX98_.jpg","609"
"The Time Machine","Fri Aug 28 16:27:30 -0700 2020","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327942880l/2493._SX98_.jpg","118"
"And Then There Were None","Thu Aug 27 21:53:09 -0700 2020","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1391120695l/16299._SX98_.jpg","264"
"The Hound of the Baskervilles","Tue Aug 25 13:21:09 -0700 2020","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1355929358l/8921._SX98_.jpg","256"
"The City Baker's Guide to Country Living","Mon Aug 24 11:45:50 -0700 2020","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png",""
"The Premature Burial","Sat Aug 22 20:55:29 -0700 2020","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1418634551l/6815174._SX98_.jpg","32"
"The Black Cat","Sat Aug 22 20:52:55 -0700 2020","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png","24"
